utt,ch1,ch2,ch3,ch4,ch5,ch6
M06_443C020E_BUS,0.946,0.948,0.948,0.946,0.981,0.981
M06_443C020H_BUS,0.900,0.970,0.970,0.961,0.965,0.965
M06_443C020K_BUS,0.956,0.956,0.958,0.952,0.983,0.983
M06_443C020L_BUS,0.837,0.965,0.965,0.846,0.915,0.957
M06_443C020M_BUS,0.924,0.972,0.972,0.978,0.982,0.982
M06_443C020P_BUS,0.970,0.976,0.977,0.982,0.982,0.977
M06_443C020R_BUS,0.951,0.976,0.976,0.977,0.977,0.964
M06_443C020U_BUS,0.956,0.970,0.970,0.968,0.986,0.986
M06_443C020X_BUS,0.965,0.967,0.967,0.971,0.984,0.984
M06_443C020Y_BUS,0.937,0.953,0.953,0.957,0.970,0.970
M06_443C020Z_BUS,0.986,0.986,0.982,0.986,0.992,0.992
M06_443C0211_BUS,0.957,0.949,0.957,0.956,0.976,0.976
M06_443C0212_BUS,0.978,0.971,0.978,0.980,0.989,0.989
M06_443C0213_BUS,0.883,0.953,0.955,0.958,0.982,0.982
M06_444C0203_BUS,0.927,0.963,0.963,0.946,0.972,0.972
M06_444C0204_BUS,0.811,0.967,0.967,0.936,0.964,0.964
M06_444C0205_BUS,0.962,0.962,0.950,0.958,0.974,0.974
M06_444C0206_BUS,0.839,0.960,0.960,0.861,0.716,0.958
M06_444C020M_BUS,0.900,0.960,0.960,0.891,0.771,0.948
M06_444C020O_BUS,0.978,0.956,0.978,0.984,0.993,0.993
M06_444C020T_BUS,0.967,0.932,0.971,0.982,0.982,0.971
M06_444C020U_BUS,0.946,0.946,0.933,0.959,0.956,0.959
M06_444C020V_BUS,0.923,0.923,0.944,0.965,0.984,0.984
M06_444C020W_BUS,0.976,0.976,0.973,0.969,0.989,0.989
M06_445C0205_BUS,0.971,0.971,0.962,0.941,0.973,0.973
M06_445C0206_BUS,0.959,0.967,0.967,0.952,0.983,0.983
M06_445C0207_BUS,0.874,0.940,0.971,0.960,0.982,0.982
M06_445C020E_BUS,0.963,0.980,0.980,0.950,0.917,0.957
M06_445C020F_BUS,0.888,0.980,0.980,0.967,0.971,0.971
M06_445C020H_BUS,0.979,0.979,0.957,0.954,0.981,0.981
M06_445C020K_BUS,0.966,0.972,0.972,0.978,0.978,0.955
M06_445C020L_BUS,0.921,0.973,0.973,0.925,0.926,0.943
M06_445C020S_BUS,0.966,0.966,0.966,0.975,0.975,0.975
M06_445C020T_BUS,0.888,0.959,0.970,0.884,0.796,0.970
M06_445C0210_BUS,0.936,0.936,0.945,0.981,0.987,0.987
M06_446C0202_BUS,0.966,0.979,0.979,0.979,0.979,0.978
M06_446C0203_BUS,0.945,0.892,0.945,0.981,0.981,0.967
M06_446C0207_BUS,0.971,0.976,0.976,0.951,0.985,0.985
M06_446C020P_BUS,0.942,0.956,0.956,0.967,0.967,0.948
M06_446C020Q_BUS,0.980,0.982,0.982,0.985,0.991,0.991
M06_446C020U_BUS,0.944,0.928,0.944,0.934,0.960,0.960
M06_446C020Y_BUS,0.965,0.975,0.975,0.960,0.991,0.991
M06_446C0211_BUS,0.952,0.953,0.953,0.974,0.983,0.983
M06_446C0213_BUS,0.960,0.968,0.968,0.975,0.975,0.975
M06_447C0204_BUS,0.975,0.970,0.975,0.980,0.984,0.984
M06_447C0207_BUS,0.987,0.987,0.964,0.979,0.982,0.982
M06_447C020C_BUS,0.917,0.877,0.917,0.969,0.971,0.971
M06_447C020L_BUS,0.986,0.986,0.985,0.978,0.993,0.993
M06_447C020O_BUS,0.965,0.965,0.966,0.976,0.983,0.983
M06_447C020U_BUS,0.918,0.918,0.947,0.965,0.965,0.965
M06_447C020W_BUS,0.946,0.982,0.982,0.978,0.978,0.945
M06_447C020X_BUS,0.949,0.919,0.949,0.915,0.965,0.965
M06_447C0216_BUS,0.948,0.964,0.964,0.980,0.980,0.941
M06_440C0202_CAF,0.967,0.766,0.967,0.870,0.978,0.978
M06_440C0204_CAF,0.953,0.775,0.953,0.939,0.983,0.983
M06_440C0209_CAF,0.985,0.970,0.985,0.995,0.995,0.988
M06_440C020E_CAF,0.952,0.900,0.952,0.987,0.990,0.990
M06_440C020F_CAF,0.961,0.855,0.961,0.979,0.982,0.982
M06_440C020G_CAF,0.951,0.879,0.951,0.953,0.975,0.975
M06_440C020H_CAF,0.924,0.836,0.924,0.983,0.994,0.994
M06_440C020I_CAF,0.948,0.920,0.951,0.981,0.981,0.980
M06_440C020O_CAF,0.948,0.836,0.948,0.931,0.973,0.973
M06_440C020P_CAF,0.975,0.943,0.975,0.988,0.989,0.989
M06_440C020T_CAF,0.973,0.908,0.973,0.992,0.992,0.992
M06_440C020W_CAF,0.936,0.807,0.936,0.978,0.993,0.993
M06_440C0210_CAF,0.958,0.844,0.958,0.983,0.983,0.983
M06_441C0207_CAF,0.955,0.890,0.955,0.997,0.997,0.994
M06_441C020M_CAF,0.952,0.888,0.952,0.989,0.989,0.983
M06_441C020N_CAF,0.972,0.758,0.972,0.982,0.988,0.988
M06_441C020O_CAF,0.955,0.826,0.955,0.979,0.986,0.986
M06_441C020Q_CAF,0.950,0.846,0.950,0.994,0.994,0.991
M06_441C020T_CAF,0.943,0.890,0.943,0.995,0.995,0.988
M06_441C0212_CAF,0.945,0.882,0.945,0.988,0.988,0.987
M06_441C0214_CAF,0.945,0.895,0.945,0.991,0.993,0.993
M06_441C0215_CAF,0.941,0.896,0.941,0.978,0.982,0.982
M06_441C0216_CAF,0.937,0.859,0.937,0.972,0.990,0.990
M06_442C0201_CAF,0.976,0.932,0.974,0.987,0.989,0.989
M06_442C0205_CAF,0.937,0.769,0.937,0.988,0.993,0.993
M06_442C0206_CAF,0.967,0.909,0.966,0.991,0.991,0.987
M06_442C020A_CAF,0.964,0.918,0.964,0.990,0.993,0.993
M06_442C020H_CAF,0.961,0.875,0.960,0.991,0.994,0.994
M06_442C020I_CAF,0.963,0.828,0.963,0.994,0.995,0.995
M06_442C020J_CAF,0.936,0.841,0.936,0.983,0.995,0.995
M06_442C020L_CAF,0.933,0.930,0.933,0.990,0.993,0.993
M06_442C020N_CAF,0.956,0.900,0.956,0.985,0.988,0.988
M06_442C020P_CAF,0.903,0.651,0.903,0.963,0.984,0.984
M06_442C020W_CAF,0.937,0.896,0.937,0.995,0.995,0.992
M06_442C020X_CAF,0.970,0.941,0.970,0.986,0.992,0.992
M06_442C020Y_CAF,0.957,0.765,0.957,0.980,0.984,0.984
M06_442C0215_CAF,0.965,0.930,0.965,0.995,0.995,0.995
M06_443C0202_CAF,0.977,0.896,0.977,0.987,0.993,0.993
M06_443C0203_CAF,0.964,0.765,0.964,0.991,0.995,0.995
M06_443C0207_CAF,0.943,0.897,0.943,0.987,0.987,0.983
M06_443C020D_CAF,0.968,0.827,0.968,0.994,0.996,0.996
M06_443C020G_CAF,0.949,0.898,0.949,0.991,0.991,0.989
M06_443C020X_CAF,0.962,0.924,0.962,0.994,0.994,0.989
M06_443C0210_CAF,0.967,0.730,0.967,0.992,0.992,0.978
M06_444C0201_CAF,0.938,0.840,0.938,0.994,0.994,0.990
M06_444C0202_CAF,0.953,0.907,0.953,0.996,0.996,0.992
M06_444C0205_CAF,0.956,0.815,0.956,0.985,0.995,0.995
M06_444C0206_CAF,0.957,0.906,0.957,0.993,0.993,0.993
M06_444C020B_CAF,0.942,0.915,0.942,0.987,0.987,0.971
M06_444C020C_CAF,0.962,0.927,0.962,0.994,0.994,0.992
M06_444C020D_CAF,0.970,0.966,0.956,0.989,0.989,0.974
M06_444C020F_CAF,0.983,0.854,0.983,0.986,0.992,0.992
M06_444C020G_CAF,0.826,0.758,0.826,0.985,0.988,0.988
M06_444C020H_CAF,0.863,0.583,0.863,0.928,0.979,0.979
M06_444C020K_CAF,0.977,0.965,0.977,0.993,0.993,0.991
M06_444C0210_CAF,0.950,0.863,0.950,0.974,0.979,0.979
M06_444C0215_CAF,0.924,0.866,0.924,0.989,0.989,0.989
M06_445C0206_CAF,0.970,0.911,0.970,0.984,0.986,0.986
M06_445C0208_CAF,0.941,0.885,0.941,0.995,0.995,0.991
M06_445C020I_CAF,0.978,0.952,0.978,0.991,0.991,0.990
M06_445C020J_CAF,0.943,0.653,0.943,0.989,0.989,0.987
M06_445C020M_CAF,0.958,0.628,0.958,0.990,0.994,0.994
M06_445C020O_CAF,0.922,0.356,0.922,0.970,0.985,0.985
M06_445C020X_CAF,0.951,0.779,0.951,0.991,0.994,0.994
M06_445C020Y_CAF,0.972,0.846,0.972,0.993,0.993,0.992
M06_445C0213_CAF,0.955,0.776,0.955,0.981,0.996,0.996
M06_446C020E_CAF,0.931,0.882,0.931,0.994,0.995,0.995
M06_446C020I_CAF,0.961,0.907,0.961,0.995,0.995,0.993
M06_446C020K_CAF,0.941,0.597,0.941,0.987,0.994,0.994
M06_446C020L_CAF,0.939,0.896,0.939,0.972,0.986,0.986
M06_446C020N_CAF,0.968,0.914,0.968,0.985,0.993,0.993
M06_446C020S_CAF,0.898,0.884,0.898,0.989,0.989,0.988
M06_447C0201_CAF,0.932,0.785,0.932,0.977,0.993,0.993
M06_447C0206_CAF,0.923,0.923,0.923,0.987,0.991,0.991
M06_447C0209_CAF,0.926,0.763,0.926,0.992,0.992,0.990
M06_447C020E_CAF,0.972,0.921,0.972,0.995,0.995,0.995
M06_447C020H_CAF,0.978,0.981,0.978,0.991,0.991,0.988
M06_447C020M_CAF,0.960,0.730,0.960,0.991,0.995,0.995
M06_447C020Q_CAF,0.951,0.902,0.951,0.993,0.993,0.982
M06_447C020S_CAF,0.965,0.934,0.965,0.985,0.990,0.990
M06_447C020T_CAF,0.973,0.800,0.973,0.988,0.990,0.990
M06_447C020Y_CAF,0.902,0.801,0.902,0.971,0.995,0.995
M06_447C0210_CAF,0.951,0.886,0.951,0.991,0.991,0.991
M06_440C0206_PED,0.955,0.931,0.955,0.985,0.985,0.978
M06_440C0208_PED,0.871,0.809,0.883,0.933,0.939,0.939
M06_440C020A_PED,0.964,0.934,0.961,0.970,0.987,0.987
M06_440C020B_PED,0.930,0.941,0.950,0.977,0.980,0.980
M06_440C020J_PED,0.853,0.888,0.875,0.969,0.981,0.981
M06_440C020Q_PED,0.914,0.831,0.914,0.977,0.989,0.989
M06_440C020R_PED,0.933,0.910,0.933,0.949,0.983,0.983
M06_440C020X_PED,0.943,0.910,0.943,0.943,0.982,0.982
M06_440C020Z_PED,0.838,0.860,0.860,0.956,0.974,0.974
M06_441C0203_PED,0.962,0.856,0.954,0.973,0.987,0.987
M06_441C0204_PED,0.949,0.871,0.949,0.994,0.994,0.993
M06_441C020B_PED,0.832,0.808,0.832,0.957,0.974,0.974
M06_441C020G_PED,0.969,0.848,0.969,0.993,0.993,0.991
M06_441C020R_PED,0.923,0.940,0.940,0.976,0.985,0.985
M06_441C020U_PED,0.868,0.846,0.864,0.985,0.985,0.974
M06_441C020Y_PED,0.922,0.922,0.911,0.951,0.951,0.951
M06_441C020Z_PED,0.877,0.816,0.901,0.956,0.975,0.975
M06_441C0211_PED,0.904,0.860,0.904,0.968,0.968,0.963
M06_441C0215_PED,0.914,0.845,0.914,0.988,0.988,0.985
M06_441C0216_PED,0.895,0.855,0.895,0.968,0.968,0.962
M06_442C0202_PED,0.905,0.817,0.901,0.964,0.975,0.975
M06_442C0204_PED,0.929,0.885,0.929,0.982,0.982,0.974
M06_442C020E_PED,0.768,0.838,0.838,0.928,0.957,0.957
M06_442C020M_PED,0.951,0.872,0.951,0.992,0.992,0.992
M06_442C020Q_PED,0.889,0.851,0.889,0.961,0.963,0.963
M06_442C020V_PED,0.949,0.881,0.949,0.988,0.988,0.984
M06_442C020X_PED,0.912,0.883,0.912,0.986,0.986,0.985
M06_442C020Y_PED,0.929,0.831,0.929,0.960,0.978,0.978
M06_442C0212_PED,0.947,0.947,0.946,0.975,0.986,0.986
M06_442C0213_PED,0.896,0.852,0.868,0.958,0.958,0.947
M06_442C0214_PED,0.958,0.944,0.958,0.977,0.979,0.979
M06_443C020A_PED,0.939,0.822,0.939,0.990,0.990,0.987
M06_443C020B_PED,0.905,0.867,0.905,0.974,0.974,0.961
M06_443C020E_PED,0.926,0.907,0.926,0.940,0.977,0.977
M06_443C020F_PED,0.895,0.883,0.895,0.971,0.977,0.977
M06_443C020G_PED,0.974,0.900,0.974,0.995,0.995,0.995
M06_443C020Q_PED,0.953,0.842,0.953,0.986,0.986,0.983
M06_443C020S_PED,0.807,0.836,0.836,0.892,0.965,0.965
M06_443C020T_PED,0.923,0.903,0.923,0.940,0.970,0.970
M06_443C020W_PED,0.936,0.893,0.936,0.980,0.980,0.979
M06_443C020Y_PED,0.919,0.914,0.919,0.985,0.985,0.985
M06_444C0204_PED,0.911,0.945,0.945,0.968,0.975,0.975
M06_444C0207_PED,0.957,0.927,0.953,0.972,0.986,0.986
M06_444C020A_PED,0.932,0.945,0.945,0.978,0.978,0.977
M06_444C020E_PED,0.961,0.953,0.956,0.961,0.981,0.981
M06_444C020L_PED,0.885,0.889,0.885,0.982,0.988,0.988
M06_444C020M_PED,0.876,0.820,0.831,0.933,0.957,0.957
M06_444C020N_PED,0.943,0.928,0.943,0.992,0.992,0.991
M06_444C020Q_PED,0.933,0.881,0.933,0.991,0.991,0.990
M06_444C0211_PED,0.893,0.879,0.893,0.963,0.977,0.977
M06_444C0215_PED,0.896,0.861,0.907,0.957,0.976,0.976
M06_445C0201_PED,0.814,0.860,0.860,0.943,0.962,0.962
M06_445C0202_PED,0.828,0.865,0.865,0.963,0.963,0.944
M06_445C0203_PED,0.892,0.841,0.892,0.987,0.989,0.989
M06_445C0204_PED,0.935,0.950,0.950,0.973,0.978,0.978
M06_445C0205_PED,0.859,0.894,0.894,0.945,0.970,0.970
M06_445C020B_PED,0.942,0.871,0.942,0.982,0.982,0.979
M06_445C020C_PED,0.865,0.865,0.839,0.950,0.961,0.961
M06_445C020N_PED,0.779,0.870,0.870,0.947,0.947,0.941
M06_445C020U_PED,0.934,0.820,0.925,0.986,0.986,0.964
M06_445C020V_PED,0.920,0.863,0.892,0.979,0.979,0.977
M06_445C0212_PED,0.942,0.942,0.937,0.969,0.972,0.972
M06_445C0214_PED,0.858,0.861,0.861,0.949,0.971,0.971
M06_445C0215_PED,0.937,0.937,0.927,0.968,0.982,0.982
M06_446C0201_PED,0.942,0.903,0.942,0.970,0.970,0.960
M06_446C0208_PED,0.958,0.940,0.958,0.965,0.966,0.966
M06_446C0209_PED,0.925,0.939,0.939,0.970,0.981,0.981
M06_446C020J_PED,0.910,0.916,0.916,0.976,0.976,0.976
M06_446C020M_PED,0.956,0.945,0.956,0.977,0.981,0.981
M06_446C020O_PED,0.973,0.938,0.973,0.996,0.997,0.997
M06_446C020R_PED,0.923,0.839,0.923,0.986,0.988,0.988
M06_446C0210_PED,0.960,0.950,0.960,0.968,0.990,0.990
M06_447C0202_PED,0.822,0.825,0.842,0.936,0.936,0.842
M06_447C0205_PED,0.920,0.911,0.920,0.981,0.981,0.973
M06_447C0208_PED,0.911,0.851,0.903,0.968,0.984,0.984
M06_447C020G_PED,0.918,0.800,0.918,0.984,0.984,0.977
M06_447C020I_PED,0.931,0.946,0.946,0.970,0.978,0.978
M06_447C020N_PED,0.888,0.864,0.888,0.937,0.966,0.966
M06_447C020Q_PED,0.935,0.861,0.935,0.990,0.990,0.978
M06_447C020Z_PED,0.944,0.944,0.956,0.980,0.980,0.975
M06_447C0214_PED,0.931,0.874,0.874,0.982,0.982,0.975
M06_447C0217_PED,0.958,0.935,0.958,0.963,0.986,0.986
M06_440C0203_STR,0.967,0.570,0.967,0.977,0.982,0.982
M06_440C0207_STR,0.921,0.867,0.000,0.972,0.974,0.974
M06_440C020C_STR,0.983,0.896,0.983,0.991,0.997,0.997
M06_440C020D_STR,0.971,0.792,0.971,0.934,0.934,0.929
M06_440C020J_STR,0.946,0.867,0.949,0.983,0.991,0.991
M06_440C020L_STR,0.928,0.727,0.000,0.986,0.986,0.972
M06_440C020M_STR,0.643,0.664,0.639,0.981,0.982,0.982
M06_440C020S_STR,0.956,0.672,0.191,0.987,0.987,0.973
M06_441C0201_STR,0.911,0.704,0.911,0.975,0.975,0.958
M06_441C0202_STR,0.738,0.487,0.488,0.993,0.993,0.993
M06_441C0205_STR,0.986,0.763,0.986,0.994,0.994,0.990
M06_441C0206_STR,0.974,0.875,0.974,0.996,0.998,0.998
M06_441C0208_STR,0.967,0.793,0.000,0.984,0.986,0.986
M06_441C020E_STR,0.976,0.783,0.976,0.987,0.987,0.981
M06_441C020H_STR,0.962,0.874,0.000,0.979,0.979,0.977
M06_441C020I_STR,0.974,0.841,0.974,0.989,0.992,0.992
M06_441C020J_STR,0.973,0.945,0.973,0.000,0.994,0.994
M06_441C020M_STR,0.972,0.902,0.046,0.988,0.988,0.987
M06_441C020P_STR,0.950,0.880,0.950,0.990,0.990,0.971
M06_441C020Q_STR,0.970,0.809,0.970,0.988,0.990,0.990
M06_441C020W_STR,0.805,0.612,0.326,0.991,0.991,0.978
M06_441C020X_STR,0.964,0.772,0.964,0.851,0.980,0.980
M06_441C020Y_STR,0.980,0.803,0.980,0.998,0.998,0.993
M06_441C0211_STR,0.974,0.661,0.974,0.997,0.997,0.993
M06_442C0204_STR,0.934,0.622,0.934,0.992,0.992,0.989
M06_442C0205_STR,0.943,0.746,0.943,0.923,0.923,0.890
M06_442C0206_STR,0.868,0.712,0.906,0.896,0.926,0.926
M06_442C0207_STR,0.908,0.878,0.908,0.966,0.979,0.979
M06_442C0208_STR,0.960,0.748,0.960,0.995,0.995,0.991
M06_442C0209_STR,0.958,0.680,0.260,0.958,0.962,0.962
M06_442C020B_STR,0.952,0.865,0.952,0.981,0.985,0.985
M06_442C020D_STR,0.918,0.829,0.915,0.978,0.982,0.982
M06_442C020O_STR,0.976,0.793,0.976,0.992,0.994,0.994
M06_442C020R_STR,0.911,0.763,0.911,0.969,0.969,0.968
M06_442C020U_STR,0.970,0.841,0.970,0.988,0.992,0.992
M06_442C0211_STR,0.946,0.667,0.909,0.953,0.953,0.930
M06_442C0215_STR,0.867,0.788,0.658,0.990,0.995,0.995
M06_443C0209_STR,0.955,0.930,0.955,0.987,0.994,0.994
M06_443C020A_STR,0.827,0.793,0.827,0.875,0.810,0.875
M06_443C020B_STR,0.836,0.795,0.051,0.938,0.938,0.926
M06_443C020F_STR,0.841,0.841,0.860,0.955,0.973,0.973
M06_443C020H_STR,0.879,0.826,0.931,0.984,0.984,0.980
M06_443C020N_STR,0.939,0.802,0.048,0.981,0.981,0.975
M06_443C020O_STR,0.981,0.789,0.981,0.989,0.989,0.983
M06_443C020V_STR,0.982,0.776,0.982,0.995,0.995,0.995
M06_443C020W_STR,0.950,0.775,0.950,0.976,0.976,0.972
M06_443C0214_STR,0.972,0.789,0.972,0.987,0.987,0.986
M06_444C0207_STR,0.875,0.843,0.875,0.972,0.990,0.990
M06_444C0208_STR,0.952,0.638,0.952,0.991,0.991,0.991
M06_444C0209_STR,0.796,0.756,0.695,0.815,0.867,0.867
M06_444C020P_STR,0.985,0.780,0.985,0.990,0.990,0.983
M06_444C020R_STR,0.981,0.821,0.981,0.998,0.998,0.996
M06_444C020S_STR,0.938,0.904,0.000,0.982,0.984,0.984
M06_444C020U_STR,0.785,0.490,0.395,0.744,0.785,0.520
M06_444C020W_STR,0.960,0.794,0.000,0.986,0.987,0.987
M06_444C0212_STR,0.797,0.553,0.196,0.992,0.996,0.996
M06_445C0204_STR,0.961,0.766,0.961,0.994,0.994,0.992
M06_445C0209_STR,0.971,0.742,0.971,0.973,0.983,0.983
M06_445C020A_STR,0.717,0.664,0.503,0.717,0.770,0.770
M06_445C020E_STR,0.935,0.921,0.935,0.000,0.986,0.986
M06_445C020F_STR,0.979,0.736,0.979,0.989,0.989,0.984
